strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff,total_oi,distance,magnet_score,oi_diff_strike,symbol
26250,54.85,100.0,0.0,0.0,64259.0,18271.0,18593.0,11596.0,54.85,100.0,45988.0,82530.0,1075.0,76.70074349442379,155029.0,NIFTY
26300,36.05,131.55,0.0,0.0,114993.0,25714.0,386.0,13493.0,36.05,131.55,89279.0,140707.0,1125.0,124.96181172291297,58177.0,NIFTY
26350,22.7,167.95,0.0,0.0,70825.0,7222.0,20732.0,5023.0,22.7,167.95,63603.0,78047.0,1175.0,66.36649659863946,62660.0,NIFTY
26400,13.5,209.65,0.0,0.0,143056.0,11962.0,49414.0,2216.0,13.5,209.65,131094.0,155018.0,1225.0,126.442088091354,76971.0,NIFTY
26450,8.2,254.25,0.0,0.0,66574.0,2746.0,25073.0,1761.0,8.2,254.25,63828.0,69320.0,1275.0,54.32601880877743,85698.0,NIFTY
26500,5.5,301.0,0.0,0.0,152857.0,7447.0,-2430.0,254.0,5.5,301.0,145410.0,160304.0,1325.0,120.89291101055807,90984.0,NIFTY
26550,3.5,348.75,0.0,0.0,54174.0,493.0,19752.0,174.0,3.5,348.75,53681.0,54667.0,1375.0,39.72892441860465,105637.0,NIFTY
26600,2.6,396.4,0.0,0.0,88513.0,1263.0,22440.0,-64.0,2.6,396.4,87250.0,89776.0,1425.0,62.95652173913044,35109.0,NIFTY
26650,2.05,447.9,0.0,0.0,26894.0,318.0,-3943.0,131.0,2.05,447.9,26576.0,27212.0,1475.0,18.43631436314363,62564.0,NIFTY
26700,1.7,494.95,0.0,0.0,89646.0,792.0,14932.0,-243.0,1.7,494.95,88854.0,90438.0,1525.0,59.26474442988204,63226.0,NIFTY
26750,1.5,546.2,0.0,0.0,23840.0,249.0,7107.0,-10.0,1.5,546.2,23591.0,24089.0,1575.0,15.28489847715736,66349.0,NIFTY
26800,1.4,596.3,0.0,0.0,83800.0,586.0,5007.0,-749.0,1.4,596.3,83214.0,84386.0,1625.0,51.89790897908979,60297.0,NIFTY
26850,1.15,644.1,0.0,0.0,22705.0,121.0,3206.0,-34.0,1.15,644.1,22584.0,22826.0,1675.0,13.619331742243437,61560.0,NIFTY
26900,1.15,696.05,0.0,0.0,42130.0,244.0,1721.0,26.0,1.15,696.05,41886.0,42374.0,1725.0,24.55040556199305,19548.0,NIFTY
26950,1.0,743.6,0.0,0.0,14054.0,34.0,4856.0,-57.0,1.0,743.6,14020.0,14088.0,1775.0,7.9324324324324325,28286.0,NIFTY
27000,0.95,795.0,0.0,0.0,150559.0,1643.0,-12930.0,-226.0,0.95,795.0,148916.0,152202.0,1825.0,83.3526834611172,138114.0,NIFTY
27050,0.95,843.3,0.0,0.0,12934.0,8.0,-130.0,2.0,0.95,843.3,12926.0,12942.0,1875.0,6.898720682302772,139260.0,NIFTY
27100,0.9,942.25,0.0,0.0,53197.0,53.0,-3488.0,2.0,0.9,942.25,53144.0,53250.0,1925.0,27.64797507788162,40308.0,NIFTY
27150,0.8,941.2,0.0,0.0,13429.0,56.0,-214.0,37.0,0.8,941.2,13373.0,13485.0,1975.0,6.824392712550607,39765.0,NIFTY
27200,0.75,995.0,0.0,0.0,70536.0,120.0,-1702.0,-4.0,0.75,995.0,70416.0,70656.0,2025.0,34.8746298124383,57171.0,NIFTY
27250,0.8,1068.35,0.0,0.0,11257.0,11.0,904.0,0.0,0.8,1068.35,11246.0,11268.0,2075.0,5.427745664739884,59388.0,NIFTY
27300,0.75,1087.95,0.0,0.0,53352.0,11.0,-119.0,1.0,0.75,1087.95,53341.0,53363.0,2125.0,25.10018814675447,42095.0,NIFTY
27350,0.7,1176.45,0.0,0.0,8865.0,110.0,746.0,-1.0,0.7,1176.45,8755.0,8975.0,2175.0,4.124540441176471,44388.0,NIFTY
27400,0.7,0.0,0.0,0.0,40743.0,2.0,261.0,0.0,0.7,0.0,40741.0,40745.0,2225.0,18.304132973944295,31770.0,NIFTY
27450,0.65,0.0,0.0,0.0,6094.0,0.0,605.0,0.0,0.65,0.0,6094.0,6094.0,2275.0,2.677504393673111,34651.0,NIFTY
27500,0.6,1295.0,0.0,0.0,98307.0,142.0,4966.0,15.0,0.6,1295.0,98165.0,98449.0,2325.0,42.32545141874463,92355.0,NIFTY
27550,0.6,0.0,0.0,0.0,3481.0,1.0,83.0,0.0,0.6,0.0,3480.0,3482.0,2375.0,1.4654882154882154,94967.0,NIFTY
27600,0.6,1376.15,0.0,0.0,23706.0,5.0,843.0,0.0,0.6,1376.15,23701.0,23711.0,2425.0,9.773701566364386,20229.0,NIFTY
27650,0.6,0.0,0.0,0.0,1910.0,0.0,-242.0,0.0,0.6,0.0,1910.0,1910.0,2475.0,0.77140549273021,21801.0,NIFTY
27700,0.55,0.0,0.0,0.0,19750.0,1.0,-1474.0,0.0,0.55,0.0,19749.0,19751.0,2525.0,7.819081551860649,17841.0,NIFTY
27750,0.55,0.0,0.0,0.0,4206.0,0.0,155.0,0.0,0.55,0.0,4206.0,4206.0,2575.0,1.6327639751552796,15545.0,NIFTY
27800,0.5,0.0,0.0,0.0,26613.0,1.0,-2164.0,0.0,0.5,0.0,26612.0,26614.0,2625.0,10.134805788271136,22408.0,NIFTY
27850,0.5,0.0,0.0,0.0,3469.0,1.0,-100.0,0.0,0.5,0.0,3468.0,3470.0,2675.0,1.296711509715994,23144.0,NIFTY
27900,0.5,0.0,0.0,0.0,20583.0,1.0,-1851.0,0.0,0.5,0.0,20582.0,20584.0,2725.0,7.550990462215701,17114.0,NIFTY
27950,0.5,0.0,0.0,0.0,27909.0,0.0,9992.0,0.0,0.5,0.0,27909.0,27909.0,2775.0,10.053674351585014,7325.0,NIFTY
28000,4.75,1654.9,0.0,0.0,47354.0,13446.333333333334,-571.0,-125.0,4.75,1654.9,33907.666666666664,60800.333333333336,2825.0,21.514626091059213,32891.333333333336,NIFTY
29000,2.35,2654.45,0.0,0.0,14251.666666666666,8092.0,-792.6666666666666,-35.0,2.35,2654.45,6159.666666666666,22343.666666666664,3825.0,5.839954695940059,38456.66666666667,NIFTY
30000,1.5,3637.8,0.0,0.0,8618.0,2858.6666666666665,-657.0,3.0,1.5,3637.8,5759.333333333334,11476.666666666666,4825.0,2.37809089653267,10866.999999999998,NIFTY
31000,1.35,4629.2,0.0,0.0,6163.666666666667,80.0,-188.0,2.0,1.35,4629.2,6083.666666666667,6243.666666666667,5825.0,1.0716901247282298,5232.999999999999,NIFTY
43500,,5.4,,0.0,,557.2857142857143,,64.0,,5.4,,,13600.0,,,BANKNIFTY
46500,0.0,5.25,0.0,0.0,0.0,563.0,0.0,199.0,0.0,5.25,-563.0,563.0,10600.0,0.0531081973398736,,BANKNIFTY
47000,0.0,6.2,0.0,0.0,0.0,411.0,0.0,16.0,0.0,6.2,-411.0,411.0,10100.0,0.04068904068904069,152.0,BANKNIFTY
47500,0.0,6.85,0.0,0.0,0.0,389.0,0.0,4.0,0.0,6.85,-389.0,389.0,9600.0,0.04051661285282783,22.0,BANKNIFTY
48000,0.0,7.15,0.0,0.0,2319.0,1484.0,0.0,3.0,0.0,7.15,835.0,3803.0,9100.0,0.41786616855290626,3414.0,BANKNIFTY
48500,0.0,7.35,0.0,0.0,3.0,118.0,0.0,-22.0,0.0,7.35,-115.0,121.0,8600.0,0.014068131612603186,3682.0,BANKNIFTY
49000,0.0,7.0,0.0,0.0,481.0,340.0,0.0,-45.0,0.0,7.0,141.0,821.0,8100.0,0.10134551289964203,700.0,BANKNIFTY
49500,0.0,7.0,0.0,0.0,12.0,107.0,0.0,-5.0,0.0,7.0,-95.0,119.0,7600.0,0.015655834758584397,702.0,BANKNIFTY
49600,0.0,7.5,0.0,0.0,0.0,57.0,0.0,41.0,0.0,7.5,-57.0,57.0,7500.0,0.007598986801759766,62.0,BANKNIFTY
49700,0.0,7.75,0.0,0.0,1.0,21.0,0.0,0.0,0.0,7.75,-20.0,22.0,7400.0,0.0029725712741521418,35.0,BANKNIFTY
49800,0.0,7.55,0.0,0.0,1.0,24.0,0.0,-2.0,0.0,7.55,-23.0,25.0,7300.0,0.003424188467333242,3.0,BANKNIFTY
49900,0.0,8.05,0.0,0.0,1.0,52.0,0.0,-1.0,0.0,8.05,-51.0,53.0,7200.0,0.007360088876544924,28.0,BANKNIFTY
50000,9972.8,7.5,0.0,0.0,2194.0,6835.0,138.0,-67.0,9972.8,7.5,-4641.0,9029.0,7100.0,1.2715110547810167,8976.0,BANKNIFTY
50100,0.0,8.55,0.0,0.0,1.0,91.0,0.0,22.0,0.0,8.55,-90.0,92.0,7000.0,0.013140979860019997,8937.0,BANKNIFTY
50200,0.0,8.0,0.0,0.0,1.0,22.0,0.0,7.0,0.0,8.0,-21.0,23.0,6900.0,0.003332850311549051,69.0,BANKNIFTY
50300,0.0,8.4,0.0,0.0,1.0,19.0,0.0,4.0,0.0,8.4,-18.0,20.0,6800.0,0.002940744008234083,3.0,BANKNIFTY
50400,0.0,7.45,0.0,0.0,1.0,16.0,0.0,1.0,0.0,7.45,-15.0,17.0,6700.0,0.002536934785852858,3.0,BANKNIFTY
50500,0.0,8.0,0.0,0.0,19.0,444.0,0.0,1.0,0.0,8.0,-425.0,463.0,6600.0,0.07014088774428116,446.0,BANKNIFTY
50600,0.0,8.3,0.0,0.0,1.0,10.0,0.0,0.0,0.0,8.3,-9.0,11.0,6500.0,0.001692047377326565,452.0,BANKNIFTY
50700,0.0,8.6,0.0,0.0,1.0,21.0,0.0,-3.0,0.0,8.6,-20.0,22.0,6400.0,0.003436962974535229,11.0,BANKNIFTY
