strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff
58900,1370.05,220.5,0.0,0.0,844.0,4190.0,-82.0,802.0,1370.05,220.5,-3346.0
59000,1309.9,239.0,0.0,0.0,17315.0,38468.0,-2089.0,5151.0,1309.9,239.0,-21153.0
59100,1235.0,264.1,0.0,0.0,1697.0,5640.0,-414.0,1281.0,1235.0,264.1,-3943.0
59200,1161.35,286.0,0.0,0.0,2061.0,6515.0,-1372.0,-983.0,1161.35,286.0,-4454.0
59300,1081.8,312.0,0.0,0.0,2303.0,6030.0,-2425.0,1382.0,1081.8,312.0,-3727.0
59400,1016.8,339.6,0.0,0.0,3831.0,5310.0,-2468.0,173.0,1016.8,339.6,-1479.0
59500,938.0,367.25,0.0,0.0,29189.0,47599.0,-6252.0,3506.0,938.0,367.25,-18410.0
59600,876.2,404.15,0.0,0.0,4996.0,5542.0,-1306.0,1495.0,876.2,404.15,-546.0
59700,815.0,437.3,0.0,0.0,7661.0,6928.0,770.0,2649.0,815.0,437.3,733.0
59800,752.0,475.05,0.0,0.0,8676.0,8396.0,-318.0,3163.0,752.0,475.05,280.0
59900,695.0,519.9,0.0,0.0,6126.0,2969.0,-746.0,1437.0,695.0,519.9,3157.0
60000,636.25,563.25,0.0,0.0,36579.0,22362.0,-5141.0,5160.0,636.25,563.25,14217.0
60100,589.9,610.75,0.0,0.0,6417.0,3373.0,509.0,1066.0,589.9,610.75,3044.0
60200,536.0,660.0,0.0,0.0,4516.0,1987.0,-196.0,120.0,536.0,660.0,2529.0
60300,489.35,713.45,0.0,0.0,3027.0,1377.0,-486.0,-820.0,489.35,713.45,1650.0
60400,442.05,767.8,0.0,0.0,3309.0,672.0,-980.0,129.0,442.05,767.8,2637.0
60500,402.9,820.05,0.0,0.0,12663.0,3076.0,-1753.0,-262.0,402.9,820.05,9587.0
60600,365.25,884.7,0.0,0.0,2824.0,725.0,167.0,-215.0,365.25,884.7,2099.0
