strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff,total_oi,distance,magnet_score
58700,1549.0,185.5,0.0,0.0,729.0,3623.0,113.0,909.0,1549.0,185.5,-2894.0,4352.0,1600.0,2.7183010618363523
58200,1938.1,121.25,0.0,0.0,302.0,2628.0,-9.0,-147.0,1938.1,121.25,-2326.0,2930.0,1100.0,2.6612170753860127
58300,1892.0,132.0,0.0,0.0,350.0,2597.0,-2.0,785.0,1892.0,132.0,-2247.0,2947.0,1200.0,2.4537885095753538
58600,1635.0,170.7,0.0,0.0,457.0,3154.0,41.0,701.0,1635.0,170.7,-2697.0,3611.0,1500.0,2.405729513657562
57900,2180.0,93.65,0.0,0.0,212.0,1622.0,10.0,-199.0,2180.0,93.65,-1410.0,1834.0,800.0,2.2896379525593007
60200,536.0,660.0,0.0,0.0,4516.0,1987.0,-196.0,120.0,536.0,660.0,2529.0,6503.0,3100.0,2.0970654627539504
64000,14.15,3936.7,0.0,0.0,13350.0,540.0,-2558.0,4.0,14.15,3936.7,12810.0,13890.0,6900.0,2.012751775105057
58100,2068.3,111.0,0.0,0.0,280.0,1433.0,-12.0,-288.0,2068.3,111.0,-1153.0,1713.0,1000.0,1.7112887112887112
62500,39.45,0.0,0.0,0.0,8952.0,10.0,1884.0,0.0,39.45,0.0,8942.0,8962.0,5400.0,1.6593223477133865
56700,0.0,40.35,0.0,0.0,18.0,588.0,0.0,-316.0,0.0,40.35,-570.0,606.0,400.0,1.5112219451371571
65000,10.85,4950.0,0.0,0.0,10779.0,713.0,368.0,2.0,10.85,4950.0,10066.0,11492.0,7900.0,1.4544994304518415
60300,489.35,713.45,0.0,0.0,3027.0,1377.0,-486.0,-820.0,489.35,713.45,1650.0,4404.0,3200.0,1.3758200562324274
50000,9972.8,7.5,0.0,0.0,2194.0,6835.0,138.0,-67.0,9972.8,7.5,-4641.0,9029.0,7100.0,1.2715110547810167
53000,6886.35,11.9,0.0,0.0,851.0,4264.0,-2.0,-71.0,6886.35,11.9,-3413.0,5115.0,4100.0,1.2472567666422825
60400,442.05,767.8,0.0,0.0,3309.0,672.0,-980.0,129.0,442.05,767.8,2637.0,3981.0,3300.0,1.2059981823689792
54500,5508.0,16.2,0.0,0.0,250.0,2777.0,0.0,-192.0,5508.0,16.2,-2527.0,3027.0,2600.0,1.1637831603229527
56100,0.0,30.45,0.0,0.0,10.0,1073.0,0.0,489.0,0.0,30.45,-1063.0,1083.0,1000.0,1.0819180819180818
60800,294.6,1019.4,0.0,0.0,3528.0,305.0,520.0,13.0,294.6,1019.4,3223.0,3833.0,3700.0,1.0356660362064307
60600,365.25,884.7,0.0,0.0,2824.0,725.0,167.0,-215.0,365.25,884.7,2099.0,3549.0,3500.0,1.0137103684661526
60700,329.15,951.7,0.0,0.0,3010.0,396.0,235.0,122.0,329.15,951.7,2614.0,3406.0,3600.0,0.9458483754512635
56300,0.0,34.5,0.0,0.0,11.0,744.0,0.0,-111.0,0.0,34.5,-733.0,755.0,800.0,0.9425717852684145
56200,0.0,31.45,0.0,0.0,9.0,836.0,0.0,-139.0,0.0,31.45,-827.0,845.0,900.0,0.9378468368479467
56400,0.0,34.25,0.0,0.0,23.0,630.0,0.0,-89.0,0.0,34.25,-607.0,653.0,700.0,0.9315263908701854
60900,263.25,1084.9,0.0,0.0,2691.0,732.0,650.0,63.0,263.25,1084.9,1959.0,3423.0,3800.0,0.9005524861878453
63500,17.4,3435.0,0.0,0.0,5222.0,3.0,2.0,0.0,17.4,3435.0,5219.0,5225.0,6400.0,0.8162787064521169
67000,5.0,0.0,0.0,0.0,7532.0,238.0,673.0,0.0,5.0,0.0,7294.0,7770.0,9900.0,0.7847692152307848
61200,186.35,1302.0,0.0,0.0,2824.0,134.0,695.0,7.0,186.35,1302.0,2690.0,2958.0,4100.0,0.7212874908558888
52000,8008.0,11.45,0.0,0.0,856.0,2264.0,-1.0,-89.0,8008.0,11.45,-1408.0,3120.0,5100.0,0.6116447755342089
61100,210.0,1222.5,0.0,0.0,1996.0,347.0,440.0,171.0,210.0,1222.5,1649.0,2343.0,4000.0,0.585603599100225
53500,0.0,13.7,0.0,0.0,105.0,1896.0,0.0,266.0,0.0,13.7,-1791.0,2001.0,3600.0,0.5556789780616496
61300,164.55,1407.55,0.0,0.0,2128.0,88.0,374.0,0.0,164.55,1407.55,2040.0,2216.0,4200.0,0.5274934539395382
51000,8940.0,10.0,0.0,0.0,648.4285714285714,2568.5714285714284,0.0,-45.714285714285715,8940.0,10.0,-1920.1428571428569,3217.0,6100.0,0.5272906080970333
61800,88.95,1930.25,0.0,0.0,2315.0,122.0,-433.0,0.0,88.95,1930.25,2193.0,2437.0,4700.0,0.5184003403531163
55600,0.0,27.25,0.0,0.0,8.0,718.0,0.0,277.0,0.0,27.25,-710.0,726.0,1500.0,0.4836775483011326
62200,54.6,0.0,0.0,0.0,2364.0,3.0,124.0,0.0,54.6,0.0,2361.0,2367.0,5100.0,0.46402666143893356
64500,11.7,0.0,0.0,0.0,3400.0,34.0,-191.0,0.0,11.7,0.0,3366.0,3434.0,7400.0,0.46399135251992973
61700,101.85,1840.7,0.0,0.0,1998.0,96.0,152.0,11.0,101.85,1840.7,1902.0,2094.0,4600.0,0.45511845251032385
48000,0.0,7.15,0.0,0.0,2319.0,1484.0,0.0,3.0,0.0,7.15,835.0,3803.0,9100.0,0.41786616855290626
62300,49.45,0.0,0.0,0.0,2021.0,5.0,190.0,0.0,49.45,0.0,2016.0,2026.0,5200.0,0.3895404729859642
66500,5.45,0.0,0.0,0.0,3446.0,0.0,81.0,0.0,5.45,0.0,3446.0,3446.0,9400.0,0.3665567492819913
61400,146.75,1582.85,0.0,0.0,1416.0,100.0,-271.0,8.0,146.75,1582.85,1316.0,1516.0,4300.0,0.3524761683329458
55700,0.0,24.25,0.0,0.0,8.0,485.0,0.0,18.0,0.0,24.25,-477.0,493.0,1400.0,0.3518915060670949
61600,115.0,1753.7,0.0,0.0,1450.0,125.0,111.0,11.0,115.0,1753.7,1325.0,1575.0,4500.0,0.3499222395023328
66000,7.6,6275.0,0.0,0.0,2567.0,262.0,-48.0,0.0,7.6,6275.0,2305.0,2829.0,8900.0,0.3178294573643411
55800,0.0,25.9,0.0,0.0,16.0,358.0,0.0,-62.0,0.0,25.9,-342.0,374.0,1300.0,0.28747117601844735
62100,62.1,0.0,0.0,0.0,1378.0,6.0,-46.0,0.0,62.1,0.0,1372.0,1384.0,5000.0,0.276744651069786
61900,78.9,2019.15,0.0,0.0,1273.0,10.0,98.0,0.0,78.9,2019.15,1263.0,1283.0,4800.0,0.26723599250156216
62600,37.4,0.0,0.0,0.0,1406.0,5.0,89.0,0.0,37.4,0.0,1401.0,1411.0,5500.0,0.25649881839665517
52500,7550.0,11.2,0.0,0.0,28.0,1142.4285714285713,0.0,-31.0,7550.0,11.2,-1114.4285714285713,1170.4285714285713,4600.0,0.2543856925513087
62400,44.75,0.0,0.0,0.0,1248.0,4.0,-117.0,0.0,44.75,0.0,1244.0,1252.0,5300.0,0.23618185248066403
54900,0.0,19.0,0.0,0.0,72.0,337.0,0.0,11.0,0.0,19.0,-265.0,409.0,2200.0,0.1858246251703771
55900,3839.3,28.0,0.0,0.0,15.0,181.0,0.0,-15.0,3839.3,28.0,-166.0,196.0,1200.0,0.16319733555370525
55200,0.0,20.8,0.0,0.0,4.0,304.0,0.0,14.0,0.0,20.8,-300.0,308.0,1900.0,0.16201998947922147
55400,0.0,22.95,0.0,0.0,113.0,151.0,0.0,10.0,0.0,22.95,-38.0,264.0,1700.0,0.15520282186948853
62700,32.0,0.0,0.0,0.0,751.0,5.0,165.0,0.0,32.0,0.0,746.0,756.0,5600.0,0.13497589716122121
62900,28.0,0.0,0.0,0.0,769.0,2.0,163.0,0.0,28.0,0.0,767.0,771.0,5800.0,0.13290811928977764
62800,29.15,0.0,0.0,0.0,696.0,4.0,91.0,0.0,29.15,0.0,692.0,700.0,5700.0,0.12278547623223995
63100,22.0,0.0,0.0,0.0,705.0,2.0,83.0,0.0,22.0,0.0,703.0,707.0,6000.0,0.11781369771704715
55100,0.0,20.2,0.0,0.0,24.0,193.0,0.0,6.0,0.0,20.2,-169.0,217.0,2000.0,0.10844577711144428
55300,0.0,22.25,0.0,0.0,21.0,167.0,0.0,-8.0,0.0,22.25,-146.0,188.0,1800.0,0.10438645197112716
49000,0.0,7.0,0.0,0.0,481.0,340.0,0.0,-45.0,0.0,7.0,141.0,821.0,8100.0,0.10134551289964203
54400,0.0,16.6,0.0,0.0,135.0,90.0,0.0,-13.0,0.0,16.6,45.0,225.0,2700.0,0.08330248056275454
51500,0.0,9.75,0.0,0.0,21.0,445.0,0.0,137.0,0.0,9.75,-424.0,466.0,5600.0,0.08319942867345118
63300,21.1,0.0,0.0,0.0,494.0,1.0,14.0,0.0,21.1,0.0,493.0,495.0,6200.0,0.07982583454281568
