strike,ltp_CE,ltp_PE,ltp_prev_CE,ltp_prev_PE,oi_CE,oi_PE,oi_change_CE,oi_change_PE,price_change_CE,price_change_PE,oi_diff
27550,0.6,0.0,0.0,0.0,3481.0,1.0,83.0,0.0,0.6,0.0,3480.0
27600,0.6,1376.15,0.0,0.0,23706.0,5.0,843.0,0.0,0.6,1376.15,23701.0
27650,0.6,0.0,0.0,0.0,1910.0,0.0,-242.0,0.0,0.6,0.0,1910.0
27700,0.55,0.0,0.0,0.0,19750.0,1.0,-1474.0,0.0,0.55,0.0,19749.0
27750,0.55,0.0,0.0,0.0,4206.0,0.0,155.0,0.0,0.55,0.0,4206.0
27800,0.5,0.0,0.0,0.0,26613.0,1.0,-2164.0,0.0,0.5,0.0,26612.0
27850,0.5,0.0,0.0,0.0,3469.0,1.0,-100.0,0.0,0.5,0.0,3468.0
27900,0.5,0.0,0.0,0.0,20583.0,1.0,-1851.0,0.0,0.5,0.0,20582.0
27950,0.5,0.0,0.0,0.0,27909.0,0.0,9992.0,0.0,0.5,0.0,27909.0
28000,4.75,1654.9,0.0,0.0,47354.0,13446.333333333334,-571.0,-125.0,4.75,1654.9,33907.666666666664
29000,2.35,2654.45,0.0,0.0,14251.666666666666,8092.0,-792.6666666666666,-35.0,2.35,2654.45,6159.666666666666
30000,1.5,3637.8,0.0,0.0,8618.0,2858.6666666666665,-657.0,3.0,1.5,3637.8,5759.333333333334
31000,1.35,4629.2,0.0,0.0,6163.666666666667,80.0,-188.0,2.0,1.35,4629.2,6083.666666666667
